연번,비상소화장치일련번호,안전센터ID,일련번호,X좌표,Y좌표,비상소화장치고유번호,사용구분,삭제여부,업데이트날짜,geometry,lon,lat
2050,110083158,1119102,4183,186202.1292,544470.6267,구로-수궁-000091,52201,N,20240905171638,POINT (126.84396129443095 37.49959513827201),126.84396129443095,37.49959513827201
2051,110081062,1105103,4185,205983.8468,548622.2763,광진-능동-000003,52201,N,20241001170335,POINT (127.06770459118363 37.53708528413568),127.06770459118363,37.53708528413568
2052,110082380,1102102,218,194876.7713,545754.9399,동작-노량-000027,52201,N,20240924174257,POINT (126.94205290396485 37.51125570800862),126.94205290396485,37.51125570800862
2053,110080024,1109104,315,204564.9761,557361.4671,성북-장위-211(비,52201,N,20240924174257,POINT (127.05170511631992 37.615832987103936),127.05170511631992,37.615832987103936
2054,110080031,1112107,321,191972.5429,554384.1911,은평-수색-54(비),52201,N,20240915171258,POINT (126.90910983407805 37.588984348253554),126.90910983407805,37.588984348253554
2055,110080040,1112508,328,193248.005,558358.0446,은평-현장-62(비),52201,N,20240903172933,POINT (126.9235144739691 37.624798566541),126.9235144739691,37.624798566541
2056,110082343,1102102,332,196289.6023,545591.3949,동작-노량-000046,52201,N,20240914171115,POINT (126.95803377484836 37.509788919059986),126.95803377484836,37.509788919059986
2057,110082363,1102102,352,197325.5263,544999.0087,동작-노량-000079,52205,N,20240924174257,POINT (126.96975268140504 37.50445507191308),126.96975268140504,37.50445507191308
2058,110083240,1125102,4201,201100.8585,560459.3823,강북-우이-219(비,52201,N,20241004171217,POINT (127.01247351936597 37.643755445535284),127.01247351936597,37.643755445535284
2059,110083719,1104103,4202,198344.6926,552009.2917,중부-충무-000402,52201,N,20240928171131,POINT (126.98126328207942 37.56762015046005),126.98126328207942,37.56762015046005
2060,110084090,1121103,4203,188895.3017,549626.5923,양천-목동-013(비,52201,N,20240911171506,POINT (126.87434014171995 37.54608671532963),126.87434014171995,37.54608671532963
2061,110082292,1102104,1103,195856.6836,544720.6687,동작-백운-000249,52201,N,20240912172010,POINT (126.95314217963794 37.50194179199061),126.95314217963794,37.50194179199061
2062,110081387,1108102,1109,193507.5977,548068.166,영등포-여의-0000,52201,N,20241002172303,POINT (126.92654622828589 37.53208931070528),126.92654622828589,37.53208931070528
2063,110081391,1108104,1121,191708.5954,544232.3116,영등포-대림-0000,52201,N,20240926171119,POINT (126.90623593901392 37.49751374749982),126.90623593901392,37.49751374749982
2064,110080793,1104106,1127,200575.7334,549841.2703,중부-신당-17(비),52201,N,20240930170849,POINT (127.00651512759302 37.54808764375735),127.00651512759302,37.54808764375735
2065,110080633,1100106,1140,197175.5258,550817.2272,중부-회현-000247,52201,N,20240925172028,POINT (126.96803386656 37.556876849405825),126.96803386656,37.556876849405825
2066,110080639,1103108,1146,199467.1413,552220.8616,종로-종로-3-08(?,52201,N,20240926171119,POINT (126.9939683240628 37.56952771875952),126.9939683240628,37.56952771875952
2067,110080646,1103106,1153,198074.296,557392.2753,종로-신영-5-27(?,52201,N,20241011171100,POINT (126.97818846527477 37.61611987700055),126.97818846527477,37.61611987700055
2068,110080659,1123105,1160,196288.0226,551282.248,서대문-북아-94(?,52201,N,20240822172829,POINT (126.9579871527701 37.561063525613875),126.9579871527701,37.561063525613875
2069,110080666,1103105,1165,199767.0791,552206.8034,종로-연건-4-47(?,52205,N,20240915171258,POINT (126.99736346425124 37.56940117965204),126.99736346425124,37.56940117965204
2070,110082515,1122103,1171,207946.3588,554507.2812,중랑-망우-3-15(?,52201,N,20240927170947,POINT (127.08997327371291 37.59009408284537),127.08997327371291,37.59009408284537
2071,110080680,1103108,1178,199191.9852,552133.1553,종로-종로-3-05(?,52201,N,20240926171119,POINT (126.99085380060266 37.568737288693434),126.99085380060266,37.568737288693434
2072,110080686,1104103,1184,198805.1609,551109.8704,중부-충무-000242,52201,N,20240928171131,POINT (126.98647686913898 37.559517109268654),126.98647686913898,37.559517109268654
2073,110080692,1103108,1190,199023.9928,553771.8068,종로-종로-3-32(?,52201,N,20240925172028,POINT (126.9889500550274 37.58350128538894),126.9889500550274,37.58350128538894
2074,110080697,1103105,1195,200047.6564,552490.1049,종로-연건-4-51(?,52201,N,20240915171258,POINT (127.00053946249747 37.57195374110277),127.00053946249747,37.57195374110277
2075,110080704,1103104,1202,197075.504,554035.0424,종로-신교-2-04(?,52201,N,20240921173252,POINT (126.96688903223152 37.58586889343174),126.96688903223152,37.58586889343174
2076,110080711,1123105,1208,196300.3901,551044.8336,서대문-북아-96(?,52201,N,20241005170403,POINT (126.95812832746276 37.55892447941109),126.95812832746276,37.55892447941109
2077,110082426,1120106,1219,211154.8423,541197.4379,송파-가락-000025,52201,N,20240921173252,POINT (127.12609946461322 37.4701392018363),127.12609946461322,37.4701392018363
2078,110082432,1120103,1225,210617.239,548271.0915,송파-방이-000031,52201,N,20241013171004,POINT (127.12012422532341 37.53387942106284),127.12012422532341,37.53387942106284
2079,110080309,1115103,1230,207805.7715,540105.5611,서초-양재-000001,52201,N,20240926171119,POINT (127.08822851733055 37.4603356151659),127.08822851733055,37.4603356151659
2080,110080376,1117105,1246,182605.3814,554178.0202,강서-개화-34(비),52201,N,20240925172028,POINT (126.80305629879072 37.58699745934326),126.80305629879072,37.58699745934326
2081,110080383,1117102,1252,186773.4365,548692.2149,강서-화곡-05(비),52201,N,20240904171437,POINT (126.85034618575067 37.537640013585076),126.85034618575067,37.537640013585076
