,자치구,접수시각,소방서_거리,사망자수,부상자수,발화원인_대분류,접수시각_년원일,접수시각_년월일
172,관악구,20230109022735,1,0,1,계절용 기기,20230109022735,20230109
173,광진구,20230113183238,0,0,0,생활기기,20230113183238,20230113
174,강서구,20230113204538,0,0,0,,20230113204538,20230113
175,송파구,20230125111228,3,0,0,계절용 기기,20230125111228,20230125
176,성북구,20230124232552,3,0,0,계절용 기기,20230124232552,20230124
177,강동구,20230108113451,2,0,0,,20230108113451,20230108
178,마포구,20230106033832,2,0,0,산업장비,20230106033832,20230106
179,강동구,20230113203438,1,0,0,,20230113203438,20230113
180,종로구,20230125140311,2,0,0,계절용 기기,20230125140311,20230125
181,서대문구,20230108184422,2,0,0,,20230108184422,20230108
182,도봉구,20230109013522,1,0,0,,20230109013522,20230109
183,양천구,20230125081351,2,0,0,,20230125081351,20230125
184,용산구,20230125180439,0,0,0,"조명, 간판",20230125180439,20230125
185,강서구,20230125072253,4,0,0,,20230125072253,20230125
186,마포구,20230121161044,1,0,0,,20230121161044,20230121
187,양천구,20230125111832,2,0,0,,20230125111832,20230125
188,구로구,20230118101704,3,0,0,,20230118101704,20230118
189,동작구,20230118001258,1,0,0,,20230118001258,20230118
190,중랑구,20230108061311,1,0,0,,20230108061311,20230108
191,강서구,20230106213450,1,0,0,주방기기,20230106213450,20230106
192,구로구,20230113003552,2,0,0,,20230113003552,20230113
193,강동구,20230113153409,6,0,0,,20230113153409,20230113
194,서초구,20230112215410,3,0,0,계절용 기기,20230112215410,20230112
195,마포구,20230125025027,3,0,0,,20230125025027,20230125
196,중구,20230108065324,3,0,0,계절용 기기,20230108065324,20230108
197,마포구,20230108194103,3,0,0,,20230108194103,20230108
198,성북구,20230117190409,0,0,0,,20230117190409,20230117
199,종로구,20230113120416,4,0,0,,20230113120416,20230113
200,마포구,20230125062058,1,0,0,,20230125062058,20230125
201,광진구,20230125183659,1,0,0,,20230125183659,20230125
202,영등포구,20230108095316,2,0,0,,20230108095316,20230108
203,양천구,20230108043618,5,0,0,,20230108043618,20230108
204,성북구,20230121015703,0,0,0,,20230121015703,20230121
205,영등포구,20230118010442,2,0,0,,20230118010442,20230118
206,마포구,20230118121224,2,0,0,,20230118121224,20230118
207,관악구,20230121145436,3,0,0,,20230121145436,20230121
208,강북구,20230117211307,2,0,0,,20230117211307,20230117
209,동작구,20230113200543,8,0,0,배선/배선기구,20230113200543,20230113
210,용산구,20230113175604,5,0,0,,20230113175604,20230113
211,송파구,20230125064545,4,0,0,주방기기,20230125064545,20230125
212,노원구,20230108185909,3,0,0,,20230108185909,20230108
213,서대문구,20230118194212,2,0,0,,20230118194212,20230118
214,성동구,20230113082808,5,0,0,"차량, 선박부품",20230113082808,20230113
215,송파구,20230108042133,3,0,0,,20230108042133,20230108
216,관악구,20230121035020,2,0,0,,20230121035020,20230121
217,마포구,20230118182602,1,0,0,생활기기,20230118182602,20230118
218,노원구,20230118185023,1,0,0,"차량, 선박부품",20230118185023,20230118
219,성북구,20230113025100,4,0,0,,20230113025100,20230113
220,강서구,20230125073651,1,0,0,,20230125073651,20230125
221,강남구,20230117194126,0,0,0,계절용 기기,20230117194126,20230117
222,도봉구,20230119235929,1,0,0,,20230119235929,20230119
223,강서구,20230120122227,1,0,0,,20230120122227,20230120
224,강남구,20230122162806,2,0,0,,20230122162806,20230122
225,마포구,20230131123356,2,0,0,,20230131123356,20230131
226,양천구,20230101142852,1,0,1,,20230101142852,20230101
227,관악구,20230120033743,2,0,0,,20230120033743,20230120
228,구로구,20230122065012,2,0,0,,20230122065012,20230122
229,서초구,20230114005620,1,0,0,,20230114005620,20230114
230,광진구,20230122120726,1,0,0,,20230122120726,20230122
231,중랑구,20230124153657,1,0,0,,20230124153657,20230124
232,노원구,20230118005105,4,0,0,,20230118005105,20230118
233,강북구,20230117234657,1,0,0,,20230117234657,20230117
234,강남구,20230101103651,2,0,0,,20230101103651,20230101
235,영등포구,20230125151555,2,0,0,,20230125151555,20230125
236,종로구,20230125125318,3,0,0,,20230125125318,20230125
237,구로구,20230131063943,3,0,0,,20230131063943,20230131
238,서초구,20230126213312,5,0,0,,20230126213312,20230126
239,도봉구,20230120111702,1,0,0,생활기기,20230120111702,20230120
240,송파구,20230120151746,3,0,0,,20230120151746,20230120
241,도봉구,20230125094943,1,0,0,,20230125094943,20230125
242,광진구,20230125114603,2,0,0,기타,20230125114603,20230125
243,관악구,20230122100257,4,0,0,,20230122100257,20230122
244,동대문구,20230114043752,4,0,0,계절용 기기,20230114043752,20230114
245,강서구,20230131015542,3,0,0,,20230131015542,20230131
246,동작구,20230101150204,5,0,0,,20230101150204,20230101
247,은평구,20230118154507,0,0,0,,20230118154507,20230118
248,영등포구,20230125162344,3,0,0,,20230125162344,20230125
249,동작구,20230123212417,7,0,0,,20230123212417,20230123
250,강서구,20230118162321,4,0,0,,20230118162321,20230118
251,강북구,20230125130427,1,0,0,,20230125130427,20230125
252,종로구,20230121233557,2,0,0,계절용 기기,20230121233557,20230121
253,성동구,20230124095923,2,0,0,,20230124095923,20230124
254,성동구,20230124195131,4,0,0,,20230124195131,20230124
255,강남구,20230120170938,2,0,0,,20230120170938,20230120
256,강북구,20230124035643,0,0,0,,20230124035643,20230124
257,영등포구,20230131005150,2,0,0,,20230131005150,20230131
258,동대문구,20230128015513,2,0,0,,20230128015513,20230128
259,종로구,20230131143729,2,0,0,,20230131143729,20230131
260,영등포구,20230118195408,3,0,0,,20230118195408,20230118
261,동대문구,20230118112702,3,0,0,계절용 기기,20230118112702,20230118
262,마포구,20230118102845,2,0,0,미상,20230118102845,20230118
263,성동구,20230101201859,1,0,0,,20230101201859,20230101
264,강서구,20230120131020,2,0,0,,20230120131020,20230120
265,강동구,20230122202101,2,0,0,배선/배선기구,20230122202101,20230122
266,서초구,20230101210659,3,0,0,,20230101210659,20230101
267,강동구,20230131043552,4,0,0,,20230131043552,20230131
268,중랑구,20230101143044,3,0,0,,20230101143044,20230101
269,구로구,20230101200251,4,0,0,,20230101200251,20230101
270,영등포구,20230125105458,0,0,0,기타,20230125105458,20230125
271,종로구,20230125194657,3,0,0,,20230125194657,20230125
272,금천구,20230122032457,1,0,0,,20230122032457,20230122
273,은평구,20230124152646,3,0,0,,20230124152646,20230124
274,중랑구,20230131215616,4,0,0,,20230131215616,20230131
275,중구,20230117234052,0,0,0,전기설비,20230117234052,20230117
276,노원구,20230125193102,3,0,0,주방기기,20230125193102,20230125
277,중랑구,20230122001607,3,0,0,,20230122001607,20230122
278,구로구,20230122110505,4,0,0,,20230122110505,20230122
279,강북구,20230130055117,1,0,0,,20230130055117,20230130
280,마포구,20230130221507,1,0,0,배선/배선기구,20230130221507,20230130
281,도봉구,20230122204049,1,0,0,,20230122204049,20230122
282,서초구,20230123211812,2,0,0,배선/배선기구,20230123211812,20230123
283,강동구,20230131192938,3,0,0,,20230131192938,20230131
284,은평구,20230120151220,2,0,0,,20230120151220,20230120
285,송파구,20230101092126,4,0,0,배선/배선기구,20230101092126,20230101
286,강남구,20230125110137,4,0,0,,20230125110137,20230125
287,강서구,20230124141350,4,0,0,생활기기,20230124141350,20230124
288,광진구,20230124143638,2,0,0,,20230124143638,20230124
289,영등포구,20230122070738,4,0,0,주방기기,20230122070738,20230122
290,서대문구,20230124051606,2,0,0,,20230124051606,20230124
291,성동구,20230120163606,3,0,0,,20230120163606,20230120
292,노원구,20230101145827,3,0,0,"차량, 선박부품",20230101145827,20230101
293,성동구,20230125101422,1,0,0,,20230125101422,20230125
294,강남구,20230124211151,1,0,0,,20230124211151,20230124
295,구로구,20230130201234,2,0,0,,20230130201234,20230130
296,관악구,20230120205900,4,0,0,,20230120205900,20230120
297,마포구,20230131123853,2,0,0,,20230131123853,20230131
298,금천구,20230101043631,0,0,0,,20230101043631,20230101
