,X좌표,Y좌표,비상소화장치고유번호
232,203063.2678,553792.3147,동대문-용두-033(
233,205746.3839,555550.7759,동대문-휘경-32(?
234,203791.726,553635.9609,동대문-용두-040(
235,203540.1719,553488.0681,동대문-용두-043(
236,202530.66,551335.1306,성동-왕십-000098
237,207806.4431,552036.3217,광진-중곡-000099
238,204616.5257,548818.6173,성동-성수-000107
239,207216.951,550437.493,광진-능동-000109
240,206023.9712,548839.2595,광진-능동-000110
241,203727.6301,552355.4725,성동-왕십-000133
242,197745.9231,550370.0464,용산-후암-000111
243,194246.0312,544808.1834,동작-상도-000036
244,197560.2599,542016.1334,동작-백운-000037
245,194078.4331,540630.0591,관악-현장-000040
246,192949.21,541921.0322,관악-난곡-000034
247,194794.0498,541590.4949,관악-현장-000043
248,192356.382,543376.677,동작-현장-000075
249,192343.0574,543395.818,동작-현장-000076
250,194147.2969,543730.8461,동작-상도-000078
251,194377.7051,544401.8602,동작-상도-000080
252,194298.687,544313.7715,동작-상도-000081
253,193373.9808,541650.7223,관악-난곡-000060
254,192610.6294,542210.9193,관악-난곡-000039
255,208277.9841,553179.2941,중랑-면목-2-15(?
256,199947.0817,556975.0844,성북-길음-105(비
257,201088.5643,556897.8031,성북-길음-78(비)
258,200761.6262,553812.1848,성북-돈암-79(비)
259,202017.1264,555062.5345,성북-돈암-80(비)
260,200726.5451,556697.4931,성북-길음-81(비)
261,204006.1787,557246.0104,성북-장위-84(비)
262,200610.9786,556923.7367,성북-길음-85(비)
263,203682.99,556535.3513,성북-현장-147(비
264,203350.0788,546580.0821,강남-영동-000015
265,202449.8823,545446.1394,강남-영동-000016
266,203076.9064,545611.5671,강남-영동-000017
267,202365.4092,545663.4486,강남-영동-000018
268,202445.5118,545205.9737,강남-영동-000019
269,204236.7137,542391.0941,강남-개포-000048
270,205755.6815,541625.6784,강남-개포-000051
271,205674.2471,541866.3774,강남-개포-000052
272,205917.4202,541924.6259,강남-개포-000053
273,205814.3534,541940.8576,강남-개포-000054
274,205556.8312,541879.9631,강남-개포-000055
275,205724.6181,542151.2847,강남-개포-000056
276,203025.5042,544662.2255,강남-역삼-000023
277,191838.6474,546832.4813,영등포-현장-0000
278,191726.4005,544386.3525,영등포-대림-0000
279,191577.2479,546335.7107,영등포-현장-0000
280,191940.9102,545491.2493,영등포-현장-0000
281,191352.6903,545566.8304,영등포-현장-0000
282,192301.6674,546036.3986,영등포-신길-0000
283,191778.9748,545694.76,영등포-현장-0000
284,192045.3187,545402.6658,영등포-현장-0000
285,191788.1539,544363.7606,영등포-대림-0000
286,191657.1785,548143.2887,영등포-당산-0000
287,190843.6048,545675.337,영등포-현장-0000
288,192277.4935,545910.0551,영등포-신길-0000
289,191745.1983,543612.5431,영등포-대림-0000
290,191714.8311,545618.1748,영등포-현장-0000
291,203796.0035,556314.8277,성북-현장-180(비
292,205318.2039,542794.0398,강남-개포-000047
293,201876.2766,555574.2784,성북-현장-182(비
294,202742.3683,555851.4801,성북-현장-183(비
295,200867.1628,555552.2101,성북-길음-184(비
296,200238.4933,557150.6537,성북-길음-185(비
297,202623.9364,554330.4701,성북-현장-187(비
